city,type,value,timestamp
skopje,pm10,36,2018-04-14T14:00:00+02:00
skopje,pm10,29,2018-04-15T14:00:00+02:00
skopje,pm10,25,2018-04-16T14:00:00+02:00
skopje,pm10,26,2018-04-17T14:00:00+02:00
skopje,pm10,24,2018-04-18T14:00:00+02:00
skopje,pm10,23,2018-04-19T14:00:00+02:00
skopje,pm10,14,2018-04-20T14:00:00+02:00
skopje,pm10,14,2018-04-21T14:00:00+02:00
skopje,pm10,16,2018-04-22T14:00:00+02:00
skopje,pm10,19,2018-04-23T14:00:00+02:00
skopje,pm10,19,2018-04-24T14:00:00+02:00
skopje,pm10,20,2018-04-25T14:00:00+02:00
skopje,pm10,22,2018-04-26T14:00:00+02:00
skopje,pm10,23,2018-04-27T14:00:00+02:00
skopje,pm10,25,2018-04-28T14:00:00+02:00
skopje,pm10,23,2018-04-29T14:00:00+02:00
skopje,pm10,21,2018-04-30T14:00:00+02:00
skopje,pm10,21,2018-05-01T14:00:00+02:00
skopje,pm10,24,2018-05-02T14:00:00+02:00
skopje,pm10,24,2018-05-03T14:00:00+02:00
skopje,pm10,27,2018-05-04T14:00:00+02:00
skopje,pm10,24,2018-05-05T14:00:00+02:00
skopje,pm10,14,2018-05-06T14:00:00+02:00
skopje,pm10,19,2018-05-07T14:00:00+02:00
skopje,pm10,20,2018-05-08T14:00:00+02:00
skopje,pm10,16,2018-05-09T14:00:00+02:00
skopje,pm10,15,2018-05-10T14:00:00+02:00
skopje,pm10,15,2018-05-11T14:00:00+02:00
skopje,pm10,13,2018-05-12T14:00:00+02:00
skopje,pm10,13,2018-05-13T14:00:00+02:00
skopje,pm10,15,2018-05-14T14:00:00+02:00
skopje,pm10,16,2018-05-15T14:00:00+02:00
skopje,pm10,8,2018-05-16T14:00:00+02:00
skopje,pm10,11,2018-05-17T14:00:00+02:00
skopje,pm10,11,2018-05-18T14:00:00+02:00
skopje,pm10,13,2018-05-19T14:00:00+02:00
skopje,pm10,16,2018-05-20T14:00:00+02:00
skopje,pm10,12,2018-05-21T14:00:00+02:00
skopje,pm10,21,2018-05-22T14:00:00+02:00
skopje,pm10,20,2018-05-23T14:00:00+02:00
skopje,pm10,14,2018-05-24T14:00:00+02:00
skopje,pm10,17,2018-05-25T14:00:00+02:00
skopje,pm10,17,2018-05-26T14:00:00+02:00
skopje,pm10,14,2018-05-27T14:00:00+02:00
skopje,pm10,17,2018-05-28T14:00:00+02:00
skopje,pm10,18,2018-05-30T14:00:00+02:00
skopje,pm10,18,2018-05-31T14:00:00+02:00
skopje,pm10,9,2018-06-01T14:00:00+02:00
skopje,pm10,15,2018-06-02T14:00:00+02:00
skopje,pm10,16,2018-06-03T14:00:00+02:00
skopje,pm10,22,2018-06-04T14:00:00+02:00
